first_name,last_name,middle_name,school_year,grade,language,period,total_words,errors,total_time,comprehension,reading_actfl_level,listening_actfl_level,writing_actfl_level,speech_actfl_level,listening_comprehension,writing_comprehension,speech_comprehension,tested_at
Emma,Walsh,,2025-2026,3,Hebrew,BOY,22,20,60,,,,,,,,,8/31/2025
Emma,Walsh,,2025-2026,3,Hebrew,MOY,27,27,60,,,,,,,,,8/31/2025
Noah,Becker,,2025-2026,3,Hebrew,BOY,18,16,60,,,,,,,,,8/31/2025
Noah,Becker,,2025-2026,3,Hebrew,MOY,21,19,60,,,,,,,,,8/31/2025
Olivia,Crane,,2025-2026,3,Hebrew,BOY,23,20,60,,,,,,,,,8/31/2025
Olivia,Crane,,2025-2026,3,Hebrew,MOY,24,23,60,,,,,,,,,8/31/2025
Liam,Doyle,,2025-2026,3,Hebrew,BOY,19,17,60,,,,,,,,,8/31/2025
Liam,Doyle,,2025-2026,3,Hebrew,MOY,16,14,60,,,,,,,,,8/31/2025
Sophia,Ellis,,2025-2026,3,Hebrew,BOY,28,27,60,,,,,,,,,8/31/2025
Sophia,Ellis,,2025-2026,3,Hebrew,MOY,38,37,60,,,,,,,,,8/31/2025
Ethan,Floyd,,2025-2026,3,Hebrew,BOY,14,8,60,,,,,,,,,8/31/2025
Ethan,Floyd,,2025-2026,3,Hebrew,MOY,17,16,60,,,,,,,,,8/31/2025
Ava,Grant,,2025-2026,3,Hebrew,BOY,23,22,60,,,,,,,,,8/31/2025
Ava,Grant,,2025-2026,3,Hebrew,MOY,29,29,60,,,,,,,,,8/31/2025
Mason,Hale,,2025-2026,3,Hebrew,BOY,19,15,60,,,,,,,,,8/31/2025
Mason,Hale,,2025-2026,3,Hebrew,MOY,19,18,60,,,,,,,,,8/31/2025
Isla,Irwin,,2025-2026,3,Hebrew,BOY,10,7,60,,,,,,,,,8/31/2025
Isla,Irwin,,2025-2026,3,Hebrew,MOY,14,13,60,,,,,,,,,8/31/2025
Lucas,Jain,,2025-2026,3,Hebrew,BOY,20,17,60,,,,,,,,,8/31/2025
Lucas,Jain,,2025-2026,3,Hebrew,MOY,23,21,60,,,,,,,,,8/31/2025
Mia,Keller,,2025-2026,3,Hebrew,BOY,14,7,60,,,,,,,,,8/31/2025
Mia,Keller,,2025-2026,3,Hebrew,MOY,14,13,60,,,,,,,,,8/31/2025
Owen,Lowe,,2025-2026,3,Hebrew,BOY,17,14,60,,,,,,,,,
Owen,Lowe,,2025-2026,3,Hebrew,MOY,20,13,60,,,,,,,,,8/31/2025
Riley,Morgan,F,2025-2026,4,Hebrew,BOY,37,36,60,,,,,,,,,8/31/2025
Riley,Morgan,F,2025-2026,4,Hebrew,MOY,129,128,142,Good,,3,3,3,at_grade,at_grade,at_grade,
Chloe,Nash,,2025-2026,4,Hebrew,BOY,27,26,60,,,,,,,,,8/31/2025
Chloe,Nash,,2025-2026,4,Hebrew,MOY,129,114,184,Partial,,2,2,2,at_grade,at_grade,at_grade,
Daniel,Ortiz,,2025-2026,4,Hebrew,BOY,41,40,60,,,,,,,,,8/31/2025
Daniel,Ortiz,,2025-2026,4,Hebrew,MOY,129,124,112,Good,,3,3,3,at_grade,at_grade,at_grade,
Grace,Peck,,2025-2026,4,Hebrew,BOY,29,26,60,,,,,,,,,8/31/2025
Grace,Peck,,2025-2026,4,Hebrew,MOY,129,107,273,Partial,,2,2,2,approaching,approaching,approaching,
Henry,Quinn,,2025-2026,4,Hebrew,BOY,30,29,60,,,,,,,,,8/31/2025
Henry,Quinn,,2025-2026,4,Hebrew,MOY,129,124,196,Good,,3,3,3,at_grade,at_grade,at_grade,
Ivy,Reed,,2025-2026,4,Hebrew,BOY,24,24,60,,,,,,,,,8/31/2025
Ivy,Reed,,2025-2026,4,Hebrew,MOY,129,114,198,Good,,3,3,3,approaching,approaching,at_grade,
Jack,Shaw,,2025-2026,4,Hebrew,BOY,19,15,60,,,,,,,,,8/31/2025
Jack,Shaw,,2025-2026,4,Hebrew,MOY,129,121,297,Partial,,2,2,2,below,below,below,
Riley,Morgan,A,2025-2026,4,Hebrew,BOY,25,21,60,,,,,,,,,8/31/2025
Riley,Morgan,A,2025-2026,4,Hebrew,MOY,129,118,262,Partial,,2,2,2,at_grade,approaching,approaching,
Kate,Tran,,2025-2026,4,Hebrew,BOY,30,29,60,,,,,,,,,8/31/2025
Kate,Tran,,2025-2026,4,Hebrew,MOY,129,127,150,Good,,3,3,3,at_grade,at_grade,at_grade,
Leo,Unger,,2025-2026,4,Hebrew,BOY,155,155,60,,,,,,,,,8/31/2025
Leo,Unger,,2025-2026,4,Hebrew,MOY,129,129,42,Good,,3,3,3,at_grade,at_grade,at_grade,
Nora,Vale,,2025-2026,4,Hebrew,BOY,25,23,60,,,,,,,,,8/31/2025
Nora,Vale,,2025-2026,4,Hebrew,MOY,129,127,171,Good,,3,3,3,at_grade,at_grade,at_grade,
Paul,West,,2025-2026,4,Hebrew,BOY,21,20,60,,,,,,,,,8/31/2025
Paul,West,,2025-2026,4,Hebrew,MOY,129,124,216,Good,,3,3,3,at_grade,at_grade,at_grade,
Quinn,Xu,,2025-2026,4,Hebrew,BOY,42,34,60,,,,,,,,,
Quinn,Xu,,2025-2026,4,Hebrew,MOY,129,127,138,Partial,,2,2,2,at_grade,at_grade,at_grade,
Rose,Young,,2025-2026,4,Hebrew,BOY,18,17,60,,,,,,,,,8/31/2025
Rose,Young,,2025-2026,4,Hebrew,MOY,129,126,306,Good,,3,3,3,at_grade,approaching,at_grade,
Aaron,Zane,,2025-2026,5,Hebrew,BOY,16,12,60,,,,,,,,,8/31/2025
Aaron,Zane,,2025-2026,5,Hebrew,MOY,56,52,167,Low,,1,1,1,below,below,below,1/18/2026
Bella,Archer,,2025-2026,5,Hebrew,BOY,22,21,60,,,,,,,,,8/31/2025
Bella,Archer,,2025-2026,5,Hebrew,MOY,119,115,193,Partial,,2,2,2,at_grade,at_grade,approaching,1/18/2026
Caleb,Brooks,,2025-2026,5,Hebrew,BOY,23,19,60,,,,,,,,,8/31/2025
Caleb,Brooks,,2025-2026,5,Hebrew,MOY,119,103,210,Low,,1,1,1,approaching,approaching,approaching,1/18/2026
Diana,Cole,,2025-2026,5,Hebrew,BOY,44,40,60,,,,,,,,,8/31/2025
Diana,Cole,,2025-2026,5,Hebrew,MOY,119,116,128,Low,,1,1,1,at_grade,at_grade,approaching,1/18/2026
Eli,Dunn,,2025-2026,5,Hebrew,BOY,37,36,60,,,,,,,,,8/31/2025
Eli,Dunn,,2025-2026,5,Hebrew,MOY,119,117,130,Good,,3,3,3,at_grade,at_grade,at_grade,1/18/2026
Fiona,East,,2025-2026,5,Hebrew,BOY,67,67,60,,,,,,,,,8/31/2025
Fiona,East,,2025-2026,5,Hebrew,MOY,119,119,74,Good,,3,3,3,at_grade,at_grade,at_grade,1/18/2026
Gavin,Frost,,2025-2026,5,Hebrew,BOY,26,24,60,,,,,,,,,8/31/2025
Gavin,Frost,,2025-2026,5,Hebrew,MOY,119,114,159,Good,,3,3,3,at_grade,at_grade,at_grade,1/18/2026
Hannah,Glen,,2025-2026,5,Hebrew,BOY,11,7,60,,,,,,,,,8/31/2025
Hannah,Glen,,2025-2026,5,Hebrew,MOY,56,24,153,Low,,1,1,1,at_grade,approaching,at_grade,1/18/2026
Ian,Hunt,,2025-2026,5,Hebrew,BOY,13,13,60,,,,,,,,,8/31/2025
Ian,Hunt,,2025-2026,5,Hebrew,MOY,66,59,229,Low,,1,1,1,approaching,approaching,approaching,1/18/2026
Julia,Ives,,2025-2026,5,Hebrew,BOY,25,23,60,,,,,,,,,8/31/2025
