first_name,last_name,middle_name,school_year,grade,class
Emma,Walsh,,2025-2026,3,
Noah,Becker,,2025-2026,3,
Olivia,Crane,,2025-2026,3,
Liam,Doyle,,2025-2026,3,
Sophia,Ellis,,2025-2026,3,
Ethan,Floyd,,2025-2026,3,
Ava,Grant,,2025-2026,3,
Mason,Hale,,2025-2026,3,
Isla,Irwin,,2025-2026,3,
Lucas,Jain,,2025-2026,3,
Mia,Keller,,2025-2026,3,
Owen,Lowe,,2025-2026,3,
Riley,Morgan,F,2025-2026,4,4a
Chloe,Nash,,2025-2026,4,4a
Daniel,Ortiz,,2025-2026,4,4a
Grace,Peck,,2025-2026,4,4a
Henry,Quinn,,2025-2026,4,4a
Ivy,Reed,,2025-2026,4,4a
Jack,Shaw,,2025-2026,4,4a
Riley,Morgan,A,2025-2026,4,4b
Kate,Tran,,2025-2026,4,4b
Leo,Unger,,2025-2026,4,4b
Nora,Vale,,2025-2026,4,4b
Paul,West,,2025-2026,4,4b
Quinn,Xu,,2025-2026,4,4b
Rose,Young,,2025-2026,4,4b
Aaron,Zane,,2025-2026,5,5a
Bella,Archer,,2025-2026,5,5a
Caleb,Brooks,,2025-2026,5,5a
Diana,Cole,,2025-2026,5,5a
Eli,Dunn,,2025-2026,5,5a
Fiona,East,,2025-2026,5,5a
Gavin,Frost,,2025-2026,5,5b
Hannah,Glen,,2025-2026,5,5b
Ian,Hunt,,2025-2026,5,5b
Julia,Ives,,2025-2026,5,5b
Kyle,Jones,,2025-2026,5,5b
